fname, lname, pass, email
admin, ADMIN, admin, admin@a.com
Matt, Kelly, password, mk32@aol.com
Ben, Jacobs, 123456, BJacoBen@aol.com
Kelly, Brown, qwerty, KB@hotmail.com
Charlotte, Smith, 90210, SmithC@aol.com
Jen, Adams, puppy123, Jamds@gmail.com
Harrison, George, HG12345, georgie@gmail.com
Paul, Denver, denverNuggets, denNugsfan@aol.com
Joseph, Smith, detriotPistons99, pistons99@gmail.com
Percy, Jarvis, pjpassword, pjarvis81@gmail.com
Holly, Thrush, christmas, HThrush@aol.com
Jen, Kelley, jazzhands, jazzj@gmail.com
Jose, Lopez, josejosejose, jose@gmail.com
Marvin, Harrisonburg, wr88, coltsFan39@gmail.com
Josephine, Spitz, georgiaLover, jojo@aol.com
Steph, Holly, prince$$, holeholly@gmail.com
Stacy, Mons, stacysMom, stacy@aol.com
Nat, Peoples, nattyNatt, nattyNatt@gmail.com
Kelly, Peoples, 1234567890qwertyuiop1234567890, kellyKells@gmail.com
Joe, Player, jp01, jp@aol.com
